Time_(s), Base_Joint_Position_(rad), Shoulder_Joint_Position_(rad), Elbow_Joint_Position_(rad), Wrist_Pitch_Joint_Position_(rad), Wrist_Roll_Joint_Position_(rad)
0.814, -0.01541, 1.96124, -1.52966, -1.51454, -0.23715
0.829, -0.01612, 1.95625, -1.52485, -1.51267, -0.24752
0.843, -0.01684, 1.95125, -1.52003, -1.51075, -0.25804
0.857, -0.01758, 1.94625, -1.51520, -1.50876, -0.26870
0.871, -0.01833, 1.94125, -1.51037, -1.50670, -0.27948
0.886, -0.01911, 1.93625, -1.50553, -1.50457, -0.29039
0.900, -0.01990, 1.93125, -1.50069, -1.50238, -0.30140
0.914, -0.02070, 1.92625, -1.49586, -1.50012, -0.31252
0.929, -0.02152, 1.92125, -1.49102, -1.49778, -0.32373
0.943, -0.02236, 1.91625, -1.48618, -1.49538, -0.33503
0.957, -0.02322, 1.91125, -1.48135, -1.49290, -0.34640
0.971, -0.02409, 1.90625, -1.47651, -1.49035, -0.35785
0.986, -0.02498, 1.90125, -1.47167, -1.48774, -0.36936
1.000, -0.02588, 1.89625, -1.46684, -1.48505, -0.38092
1.014, -0.02681, 1.89125, -1.46200, -1.48229, -0.39253
1.029, -0.02774, 1.88625, -1.45716, -1.47945, -0.40417
1.043, -0.02870, 1.88125, -1.45232, -1.47655, -0.41585
1.057, -0.02967, 1.87625, -1.44749, -1.47358, -0.42754
1.071, -0.03066, 1.87125, -1.44265, -1.47053, -0.43925
1.086, -0.03166, 1.86625, -1.43781, -1.46741, -0.45096
1.100, -0.03268, 1.86125, -1.43298, -1.46423, -0.46267
1.114, -0.03372, 1.85625, -1.42814, -1.46097, -0.47438
1.129, -0.03477, 1.85125, -1.42330, -1.45764, -0.48609
1.143, -0.03584, 1.84625, -1.41846, -1.45424, -0.49780
1.157, -0.03693, 1.84125, -1.41363, -1.45076, -0.50951
1.171, -0.03804, 1.83625, -1.40879, -1.44722, -0.52122
1.186, -0.03916, 1.83125, -1.40395, -1.44361, -0.53293
1.200, -0.04029, 1.82625, -1.39912, -1.43992, -0.54464
1.214, -0.04144, 1.82125, -1.39428, -1.43617, -0.55636
1.229, -0.04261, 1.81625, -1.38944, -1.43234, -0.56807
1.243, -0.04380, 1.81125, -1.38461, -1.42845, -0.57978
1.257, -0.04500, 1.80625, -1.37977, -1.42449, -0.59149
1.271, -0.04622, 1.80125, -1.37493, -1.42047, -0.60320
1.286, -0.04746, 1.79625, -1.37009, -1.41638, -0.61491
1.300, -0.04871, 1.79125, -1.36526, -1.41223, -0.62662
1.314, -0.04998, 1.78625, -1.36042, -1.40801, -0.63833
1.329, -0.05127, 1.78125, -1.35558, -1.40374, -0.65004
1.343, -0.05257, 1.77625, -1.35075, -1.39940, -0.66175
1.357, -0.05389, 1.77125, -1.34591, -1.39501, -0.67346
1.371, -0.05522, 1.76625, -1.34107, -1.39056, -0.68517
1.386, -0.05657, 1.76125, -1.33623, -1.38605, -0.69688
1.400, -0.05794, 1.75625, -1.33140, -1.38148, -0.70860
1.414, -0.05933, 1.75125, -1.32656, -1.37687, -0.72031
1.429, -0.06073, 1.74625, -1.32172, -1.37219, -0.73202
1.443, -0.06214, 1.74125, -1.31689, -1.36747, -0.74373
1.457, -0.06358, 1.73625, -1.31205, -1.36269, -0.75544
1.471, -0.06503, 1.73125, -1.30721, -1.35787, -0.76715
1.486, -0.06650, 1.72625, -1.30238, -1.35299, -0.77886
1.500, -0.06798, 1.72125, -1.29754, -1.34807, -0.79057
1.514, -0.06948, 1.71625, -1.29270, -1.34310, -0.80228
1.529, -0.07100, 1.71125, -1.28786, -1.33808, -0.81399
1.543, -0.07253, 1.70625, -1.28303, -1.33302, -0.82570
1.557, -0.07408, 1.70125, -1.27819, -1.32791, -0.83741
1.571, -0.07565, 1.69625, -1.27335, -1.32276, -0.84912
1.586, -0.07723, 1.69125, -1.26852, -1.31757, -0.86084
1.600, -0.07883, 1.68625, -1.26368, -1.31234, -0.87255
1.614, -0.08045, 1.68125, -1.25884, -1.30707, -0.88426
1.629, -0.08208, 1.67625, -1.25400, -1.30177, -0.89597
1.643, -0.08373, 1.67125, -1.24917, -1.29642, -0.90768
1.657, -0.08539, 1.66625, -1.24433, -1.29104, -0.91939
1.671, -0.08708, 1.66125, -1.23949, -1.28562, -0.93110
1.686, -0.08878, 1.65625, -1.23466, -1.28017, -0.94281
1.700, -0.09049, 1.65125, -1.22982, -1.27469, -0.95452
1.714, -0.09222, 1.64625, -1.22498, -1.26918, -0.96623
1.729, -0.09396, 1.64125, -1.22014, -1.26363, -0.97794
1.743, -0.09572, 1.63625, -1.21531, -1.25805, -0.98965
1.757, -0.09749, 1.63125, -1.21047, -1.25245, -1.00137
1.771, -0.09927, 1.62625, -1.20563, -1.24682, -1.01308
1.786, -0.10106, 1.62125, -1.20080, -1.24116, -1.02479
1.800, -0.10287, 1.61625, -1.19596, -1.23548, -1.03650
1.814, -0.10469, 1.61125, -1.19112, -1.22977, -1.04821
1.829, -0.10652, 1.60625, -1.18629, -1.22404, -1.05992
1.843, -0.10836, 1.60125, -1.18145, -1.21829, -1.07163
1.857, -0.11020, 1.59625, -1.17661, -1.21252, -1.08334
1.871, -0.11206, 1.59125, -1.17177, -1.20672, -1.09505
1.886, -0.11393, 1.58625, -1.16694, -1.20091, -1.10676
1.900, -0.11580, 1.58125, -1.16210, -1.19508, -1.11847
1.914, -0.11768, 1.57625, -1.15726, -1.18924, -1.13018
1.929, -0.11957, 1.57125, -1.15243, -1.18337, -1.14189
1.943, -0.12146, 1.56625, -1.14759, -1.17750, -1.15361
1.957, -0.12336, 1.56125, -1.14275, -1.17161, -1.16532
1.971, -0.12527, 1.55625, -1.13791, -1.16571, -1.17703
1.986, -0.12718, 1.55125, -1.13308, -1.15979, -1.18874
2.000, -0.12909, 1.54625, -1.12824, -1.15387, -1.20045
2.014, -0.13101, 1.54125, -1.12340, -1.14794, -1.21216
2.029, -0.13293, 1.53625, -1.11857, -1.14200, -1.22387
2.043, -0.13485, 1.53125, -1.11373, -1.13605, -1.23558
2.057, -0.13678, 1.52625, -1.10889, -1.13010, -1.24729
2.071, -0.13871, 1.52125, -1.10406, -1.12414, -1.25900
2.086, -0.14064, 1.51625, -1.09922, -1.11818, -1.27071
2.100, -0.14256, 1.51125, -1.09438, -1.11222, -1.28242
2.114, -0.14449, 1.50625, -1.08954, -1.10626, -1.29414
2.129, -0.14642, 1.50125, -1.08471, -1.10029, -1.30585
2.143, -0.14835, 1.49625, -1.07987, -1.09433, -1.31756
2.157, -0.15028, 1.49125, -1.07503, -1.08836, -1.32927
2.171, -0.15221, 1.48625, -1.07020, -1.08240, -1.34098
2.186, -0.15414, 1.48125, -1.06536, -1.07643, -1.35269
2.200, -0.15607, 1.47625, -1.06052, -1.07047, -1.36440
2.214, -0.15800, 1.47125, -1.05568, -1.06450, -1.37611
2.229, -0.15993, 1.46625, -1.05085, -1.05854, -1.38782
2.243, -0.16185, 1.46125, -1.04601, -1.05258, -1.39953
2.257, -0.16378, 1.45625, -1.04117, -1.04661, -1.41124
2.271, -0.16571, 1.45125, -1.03634, -1.04065, -1.42295
2.286, -0.16764, 1.44625, -1.03150, -1.03468, -1.43466
2.300, -0.16957, 1.44125, -1.02666, -1.02872, -1.44638
2.314, -0.17150, 1.43625, -1.02183, -1.02275, -1.45809
2.329, -0.17343, 1.43125, -1.01699, -1.01679, -1.46980
2.343, -0.17536, 1.42625, -1.01215, -1.01082, -1.48151
2.357, -0.17729, 1.42125, -1.00731, -1.00486, -1.49322
2.371, -0.17922, 1.41625, -1.00248, -0.99889, -1.50493
2.386, -0.18114, 1.41125, -0.99764, -0.99293, -1.51664
2.400, -0.18307, 1.40625, -0.99280, -0.98697, -1.52835
2.414, -0.18500, 1.40125, -0.98797, -0.98100, -1.54006
2.429, -0.18693, 1.39625, -0.98313, -0.97504, -1.55177
2.443, -0.18886, 1.39125, -0.97829, -0.96907, -1.56348
2.457, -0.19079, 1.38625, -0.97345, -0.96311, -1.57519
2.471, -0.19272, 1.38125, -0.96862, -0.95714, -1.58690
2.486, -0.19465, 1.37625, -0.96378, -0.95118, -1.59862
2.500, -0.19658, 1.37125, -0.95894, -0.94521, -1.61033
2.514, -0.19851, 1.36625, -0.95411, -0.93925, -1.62204
2.529, -0.20043, 1.36125, -0.94927, -0.93329, -1.63375
2.543, -0.20236, 1.35625, -0.94443, -0.92732, -1.64546
2.557, -0.20429, 1.35125, -0.93959, -0.92136, -1.65717
2.571, -0.20622, 1.34625, -0.93476, -0.91539, -1.66888
2.586, -0.20815, 1.34125, -0.92992, -0.90943, -1.68059
2.600, -0.21008, 1.33625, -0.92508, -0.90346, -1.69230
2.614, -0.21201, 1.33125, -0.92025, -0.89750, -1.70401
2.629, -0.21394, 1.32625, -0.91541, -0.89153, -1.71572
2.643, -0.21587, 1.32125, -0.91057, -0.88557, -1.72743
2.657, -0.21780, 1.31625, -0.90574, -0.87960, -1.73915
2.671, -0.21972, 1.31125, -0.90090, -0.87364, -1.75086
2.686, -0.22165, 1.30625, -0.89606, -0.86768, -1.76257
2.700, -0.22358, 1.30125, -0.89122, -0.86171, -1.77428
2.714, -0.22551, 1.29625, -0.88639, -0.85575, -1.78599
2.729, -0.22744, 1.29125, -0.88155, -0.84978, -1.79770
2.743, -0.22937, 1.28625, -0.87671, -0.84382, -1.80941
2.757, -0.23130, 1.28125, -0.87188, -0.83785, -1.82112
2.771, -0.23323, 1.27625, -0.86704, -0.83189, -1.83283
2.786, -0.23516, 1.27125, -0.86220, -0.82592, -1.84454
2.800, -0.23709, 1.26625, -0.85736, -0.81996, -1.85625
2.814, -0.23901, 1.26125, -0.85253, -0.81400, -1.86796
2.829, -0.24094, 1.25625, -0.84769, -0.80804, -1.87967
2.843, -0.24287, 1.25125, -0.84285, -0.80208, -1.89139
2.857, -0.24480, 1.24625, -0.83802, -0.79613, -1.90310
2.871, -0.24672, 1.24125, -0.83318, -0.79019, -1.91481
2.886, -0.24864, 1.23625, -0.82834, -0.78425, -1.92652
2.900, -0.25056, 1.23125, -0.82351, -0.77832, -1.93823
2.914, -0.25248, 1.22625, -0.81867, -0.77240, -1.94994
2.929, -0.25439, 1.22125, -0.81383, -0.76650, -1.96165
2.943, -0.25630, 1.21625, -0.80899, -0.76060, -1.97336
2.957, -0.25820, 1.21125, -0.80416, -0.75471, -1.98507
2.971, -0.26010, 1.20625, -0.79932, -0.74884, -1.99678
2.986, -0.26199, 1.20125, -0.79448, -0.74299, -2.00849
3.000, -0.26387, 1.19625, -0.78965, -0.73715, -2.02020
3.014, -0.26575, 1.19125, -0.78481, -0.73132, -2.03192
3.029, -0.26762, 1.18625, -0.77997, -0.72552, -2.04363
3.043, -0.26948, 1.18125, -0.77513, -0.71973, -2.05534
3.057, -0.27133, 1.17625, -0.77030, -0.71397, -2.06705
3.071, -0.27317, 1.17125, -0.76546, -0.70822, -2.07876
3.086, -0.27501, 1.16625, -0.76062, -0.70250, -2.09047
3.100, -0.27683, 1.16125, -0.75579, -0.69680, -2.10218
3.114, -0.27864, 1.15625, -0.75095, -0.69113, -2.11389
3.129, -0.28044, 1.15125, -0.74611, -0.68548, -2.12560
3.143, -0.28223, 1.14625, -0.74128, -0.67986, -2.13731
3.157, -0.28401, 1.14125, -0.73644, -0.67426, -2.14902
3.171, -0.28577, 1.13625, -0.73160, -0.66870, -2.16073
3.186, -0.28752, 1.13125, -0.72676, -0.66316, -2.17244
3.200, -0.28925, 1.12625, -0.72193, -0.65766, -2.18416
3.214, -0.29097, 1.12125, -0.71709, -0.65219, -2.19587
3.229, -0.29268, 1.11625, -0.71225, -0.64675, -2.20758
3.243, -0.29437, 1.11125, -0.70742, -0.64135, -2.21929
3.257, -0.29604, 1.10625, -0.70258, -0.63598, -2.23100
3.271, -0.29770, 1.10125, -0.69774, -0.63065, -2.24271
3.286, -0.29934, 1.09625, -0.69290, -0.62535, -2.25442
3.300, -0.30096, 1.09125, -0.68807, -0.62010, -2.26613
3.314, -0.30257, 1.08625, -0.68323, -0.61488, -2.27784
3.329, -0.30416, 1.08125, -0.67839, -0.60971, -2.28955
3.343, -0.30573, 1.07625, -0.67356, -0.60458, -2.30126
3.357, -0.30729, 1.07125, -0.66872, -0.59949, -2.31297
3.371, -0.30883, 1.06625, -0.66388, -0.59444, -2.32468
3.386, -0.31035, 1.06125, -0.65905, -0.58944, -2.33640
3.400, -0.31186, 1.05625, -0.65421, -0.58449, -2.34811
3.414, -0.31335, 1.05125, -0.64937, -0.57958, -2.35982
3.429, -0.31483, 1.04625, -0.64453, -0.57472, -2.37153
3.443, -0.31629, 1.04125, -0.63970, -0.56991, -2.38324
3.457, -0.31773, 1.03625, -0.63486, -0.56516, -2.39495
3.471, -0.31915, 1.03125, -0.63002, -0.56045, -2.40666
3.486, -0.32056, 1.02625, -0.62519, -0.55580, -2.41837
3.500, -0.32195, 1.02125, -0.62035, -0.55120, -2.43008
3.514, -0.32333, 1.01625, -0.61551, -0.54665, -2.44179
3.529, -0.32469, 1.01125, -0.61067, -0.54217, -2.45350
3.543, -0.32603, 1.00625, -0.60584, -0.53774, -2.46521
3.557, -0.32736, 1.00125, -0.60100, -0.53336, -2.47693
3.571, -0.32867, 0.99625, -0.59616, -0.52905, -2.48864
3.586, -0.32996, 0.99125, -0.59133, -0.52480, -2.50035
3.600, -0.33124, 0.98625, -0.58649, -0.52061, -2.51206
3.614, -0.33249, 0.98125, -0.58165, -0.51648, -2.52377
3.629, -0.33374, 0.97625, -0.57681, -0.51241, -2.53548
3.643, -0.33496, 0.97125, -0.57198, -0.50841, -2.54719
3.657, -0.33617, 0.96625, -0.56714, -0.50448, -2.55890
3.671, -0.33737, 0.96125, -0.56230, -0.50061, -2.57061
3.686, -0.33855, 0.95625, -0.55747, -0.49681, -2.58232
3.700, -0.33971, 0.95125, -0.55263, -0.49308, -2.59403
3.714, -0.34085, 0.94625, -0.54779, -0.48942, -2.60574
3.729, -0.34198, 0.94125, -0.54296, -0.48583, -2.61745
3.743, -0.34309, 0.93625, -0.53812, -0.48231, -2.62917
3.757, -0.34418, 0.93125, -0.53328, -0.47887, -2.64088
3.771, -0.34526, 0.92625, -0.52844, -0.47549, -2.65259
3.786, -0.34632, 0.92125, -0.52361, -0.47219, -2.66430
3.800, -0.34737, 0.91625, -0.51877, -0.46896, -2.67601
3.814, -0.34839, 0.91125, -0.51393, -0.46579, -2.68772
3.829, -0.34941, 0.90625, -0.50910, -0.46270, -2.69943
3.843, -0.35040, 0.90125, -0.50426, -0.45968, -2.71114
3.857, -0.35138, 0.89625, -0.49942, -0.45673, -2.72284
3.871, -0.35234, 0.89125, -0.49458, -0.45386, -2.73452
3.886, -0.35329, 0.88625, -0.48975, -0.45105, -2.74617
3.900, -0.35422, 0.88125, -0.48491, -0.44832, -2.75779
3.914, -0.35513, 0.87625, -0.48007, -0.44565, -2.76936
3.929, -0.35602, 0.87125, -0.47524, -0.44306, -2.78088
3.943, -0.35690, 0.86625, -0.47040, -0.44054, -2.79234
3.957, -0.35777, 0.86125, -0.46556, -0.43809, -2.80374
3.971, -0.35861, 0.85625, -0.46073, -0.43571, -2.81506
3.986, -0.35944, 0.85125, -0.45589, -0.43340, -2.82629
4.000, -0.36026, 0.84625, -0.45105, -0.43116, -2.83743
4.014, -0.36105, 0.84125, -0.44621, -0.42900, -2.84847
4.029, -0.36183, 0.83625, -0.44138, -0.42689, -2.85941
4.043, -0.36260, 0.83125, -0.43654, -0.42486, -2.87022
4.057, -0.36334, 0.82625, -0.43171, -0.42289, -2.88091
4.071, -0.36407, 0.82125, -0.42688, -0.42099, -2.89146
4.086, -0.36479, 0.81625, -0.42207, -0.41915, -2.90187
4.100, -0.36549, 0.81127, -0.41728, -0.41738, -2.91214
4.114, -0.36617, 0.80629, -0.41251, -0.41566, -2.92224
4.129, -0.36683, 0.80134, -0.40777, -0.41401, -2.93218
4.143, -0.36748, 0.79641, -0.40307, -0.41241, -2.94194
4.157, -0.36811, 0.79152, -0.39840, -0.41088, -2.95152
4.171, -0.36872, 0.78666, -0.39378, -0.40940, -2.96091
4.186, -0.36932, 0.78185, -0.38922, -0.40798, -2.97010
4.200, -0.36990, 0.77709, -0.38471, -0.40661, -2.97908
4.214, -0.37047, 0.77238, -0.38026, -0.40529, -2.98784
4.229, -0.37102, 0.76774, -0.37587, -0.40403, -2.99638
4.243, -0.37155, 0.76316, -0.37156, -0.40282, -3.00469
4.257, -0.37207, 0.75865, -0.36732, -0.40166, -3.01276
4.271, -0.37256, 0.75423, -0.36317, -0.40056, -3.02058
4.286, -0.37305, 0.74988, -0.35911, -0.39950, -3.02814
4.300, -0.37351, 0.74563, -0.35514, -0.39848, -3.03543
4.314, -0.37396, 0.74148, -0.35126, -0.39752, -3.04246
4.329, -0.37440, 0.73742, -0.34749, -0.39660, -3.04920
4.343, -0.37481, 0.73348, -0.34383, -0.39572, -3.05568
4.357, -0.37521, 0.72965, -0.34028, -0.39488, -3.06188
4.371, -0.37559, 0.72594, -0.33686, -0.39409, -3.06780
4.386, -0.37596, 0.72235, -0.33355, -0.39334, -3.07346
4.400, -0.37631, 0.71890, -0.33038, -0.39263, -3.07883
4.414, -0.37665, 0.71558, -0.32734, -0.39196, -3.08394
4.429, -0.37696, 0.71241, -0.32443, -0.39132, -3.08876
4.443, -0.37726, 0.70937, -0.32166, -0.39073, -3.09332
4.457, -0.37755, 0.70648, -0.31902, -0.39016, -3.09760
4.471, -0.37781, 0.70374, -0.31652, -0.38963, -3.10163
4.486, -0.37807, 0.70113, -0.31414, -0.38914, -3.10540
4.500, -0.37830, 0.69867, -0.31191, -0.38868, -3.10892
4.514, -0.37852, 0.69635, -0.30980, -0.38825, -3.11221
4.529, -0.37872, 0.69418, -0.30783, -0.38785, -3.11527
4.543, -0.37891, 0.69215, -0.30599, -0.38747, -3.11811
4.557, -0.37909, 0.69026, -0.30429, -0.38713, -3.12074
4.571, -0.37925, 0.68851, -0.30272, -0.38681, -3.12316
4.586, -0.37940, 0.68690, -0.30127, -0.38652, -3.12539
4.600, -0.37954, 0.68543, -0.29995, -0.38625, -3.12743
4.614, -0.37966, 0.68409, -0.29874, -0.38601, -3.12930
4.629, -0.37978, 0.68286, -0.29764, -0.38579, -3.13099
4.643, -0.37988, 0.68176, -0.29665, -0.38559, -3.13252
4.657, -0.37997, 0.68076, -0.29575, -0.38541, -3.13389
4.671, -0.38006, 0.67987, -0.29496, -0.38525, -3.13512
4.686, -0.38013, 0.67908, -0.29425, -0.38511, -3.13621
4.700, -0.38020, 0.67838, -0.29362, -0.38498, -3.13717
4.714, -0.38026, 0.67777, -0.29307, -0.38487, -3.13801
4.729, -0.38031, 0.67724, -0.29260, -0.38478, -3.13873
4.743, -0.38035, 0.67679, -0.29219, -0.38470, -3.13935
4.757, -0.38039, 0.67640, -0.29185, -0.38463, -3.13988
4.771, -0.38042, 0.67608, -0.29156, -0.38457, -3.14031
4.786, -0.38044, 0.67582, -0.29133, -0.38453, -3.14067
4.800, -0.38046, 0.67561, -0.29114, -0.38449, -3.14095
4.814, -0.38048, 0.67545, -0.29100, -0.38446, -3.14117
4.829, -0.38049, 0.67533, -0.29089, -0.38444, -3.14133
4.843, -0.38050, 0.67524, -0.29081, -0.38443, -3.14144
4.857, -0.38050, 0.67518, -0.29076, -0.38442, -3.14152
4.871, -0.38051, 0.67515, -0.29073, -0.38441, -3.14156
4.886, -0.38051, 0.67513, -0.29072, -0.38441, -3.14158
4.900, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
4.914, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
4.929, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
4.943, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
4.957, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
4.971, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
4.986, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.000, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.014, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.029, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.043, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.057, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.071, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.086, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.100, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.114, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.129, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.143, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.157, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.171, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.186, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.200, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.214, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.229, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.243, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.257, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.271, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.286, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.300, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.314, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.329, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.343, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.357, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.371, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.386, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.400, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.414, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.429, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.443, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.457, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.471, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.486, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.500, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.514, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.529, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.543, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.557, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.571, -0.38051, 0.67512, -0.29071, -0.38441, -3.14160
5.586, -0.38051, 0.67512, -0.29071, -0.38441, -3.14160
5.600, -0.38051, 0.67512, -0.29071, -0.38441, -3.14160
5.614, -0.38051, 0.67512, -0.29071, -0.38441, -3.14160
5.629, -0.38051, 0.67512, -0.29071, -0.38441, -3.14160
5.643, -0.38051, 0.67512, -0.29071, -0.38441, -3.14160
5.657, -0.38051, 0.67512, -0.29071, -0.38441, -3.14160
5.671, -0.38051, 0.67512, -0.29071, -0.38441, -3.14160
5.686, -0.38051, 0.67512, -0.29071, -0.38441, -3.14160
5.700, -0.38051, 0.67512, -0.29071, -0.38441, -3.14160
5.714, -0.38051, 0.67512, -0.29071, -0.38441, -3.14160
5.729, -0.38051, 0.67512, -0.29071, -0.38441, -3.14160
5.743, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.757, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.771, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
5.786, -0.38051, 0.67512, -0.29071, -0.38441, -3.14159
