Time_(s), Base_Joint_Position_(rad), Shoulder_Joint_Position_(rad), Elbow_Joint_Position_(rad), Wrist_Pitch_Joint_Position_(rad), Wrist_Roll_Joint_Position_(rad)
0.000, 0.00000, 2.09925, -1.65843, -1.54994, 0.00000
0.014, -0.00000, 2.09925, -1.65843, -1.54994, -0.00000
0.029, -0.00000, 2.09924, -1.65842, -1.54994, -0.00002
0.043, -0.00000, 2.09921, -1.65840, -1.54993, -0.00006
0.057, -0.00001, 2.09917, -1.65836, -1.54992, -0.00013
0.071, -0.00002, 2.09910, -1.65829, -1.54990, -0.00023
0.086, -0.00003, 2.09900, -1.65820, -1.54988, -0.00038
0.100, -0.00004, 2.09886, -1.65808, -1.54985, -0.00058
0.114, -0.00006, 2.09869, -1.65792, -1.54981, -0.00085
0.129, -0.00008, 2.09846, -1.65771, -1.54976, -0.00118
0.143, -0.00011, 2.09817, -1.65745, -1.54970, -0.00160
0.157, -0.00014, 2.09783, -1.65714, -1.54963, -0.00210
0.171, -0.00018, 2.09742, -1.65677, -1.54954, -0.00269
0.186, -0.00023, 2.09694, -1.65633, -1.54944, -0.00339
0.200, -0.00029, 2.09638, -1.65583, -1.54933, -0.00420
0.214, -0.00035, 2.09574, -1.65524, -1.54919, -0.00513
0.229, -0.00042, 2.09500, -1.65458, -1.54905, -0.00619
0.243, -0.00050, 2.09418, -1.65383, -1.54888, -0.00738
0.257, -0.00059, 2.09325, -1.65299, -1.54869, -0.00872
0.271, -0.00068, 2.09221, -1.65205, -1.54849, -0.01021
0.286, -0.00079, 2.09106, -1.65100, -1.54826, -0.01186
0.300, -0.00091, 2.08980, -1.64986, -1.54800, -0.01368
0.314, -0.00105, 2.08840, -1.64859, -1.54773, -0.01567
0.329, -0.00119, 2.08688, -1.64721, -1.54743, -0.01785
0.343, -0.00135, 2.08522, -1.64571, -1.54710, -0.02023
0.357, -0.00152, 2.08342, -1.64408, -1.54675, -0.02280
0.371, -0.00170, 2.08148, -1.64231, -1.54636, -0.02559
0.386, -0.00190, 2.07939, -1.64042, -1.54595, -0.02860
0.400, -0.00211, 2.07716, -1.63838, -1.54551, -0.03183
0.414, -0.00234, 2.07479, -1.63622, -1.54503, -0.03529
0.429, -0.00258, 2.07228, -1.63392, -1.54453, -0.03900
0.443, -0.00284, 2.06962, -1.63149, -1.54399, -0.04296
0.457, -0.00312, 2.06682, -1.62892, -1.54341, -0.04718
0.471, -0.00341, 2.06388, -1.62622, -1.54280, -0.05167
0.486, -0.00372, 2.06079, -1.62338, -1.54215, -0.05643
0.500, -0.00405, 2.05756, -1.62042, -1.54147, -0.06146
0.514, -0.00439, 2.05420, -1.61731, -1.54074, -0.06677
0.529, -0.00475, 2.05069, -1.61408, -1.53997, -0.07235
0.543, -0.00513, 2.04706, -1.61072, -1.53917, -0.07821
0.557, -0.00552, 2.04330, -1.60723, -1.53832, -0.08434
0.571, -0.00593, 2.03943, -1.60363, -1.53743, -0.09075
0.586, -0.00635, 2.03544, -1.59992, -1.53649, -0.09743
0.600, -0.00679, 2.03135, -1.59610, -1.53550, -0.10438
0.614, -0.00725, 2.02716, -1.59218, -1.53447, -0.11161
0.629, -0.00773, 2.02287, -1.58817, -1.53340, -0.11911
0.643, -0.00822, 2.01850, -1.58406, -1.53227, -0.12686
0.657, -0.00873, 2.01404, -1.57987, -1.53109, -0.13487
0.671, -0.00925, 2.00951, -1.57560, -1.52986, -0.14312
0.686, -0.00979, 2.00490, -1.57125, -1.52858, -0.15160
0.700, -0.01035, 2.00024, -1.56684, -1.52725, -0.16031
0.714, -0.01093, 1.99551, -1.56236, -1.52586, -0.16924
0.729, -0.01152, 1.99072, -1.55782, -1.52442, -0.17838
0.743, -0.01212, 1.98590, -1.55323, -1.52292, -0.18772
0.757, -0.01275, 1.98102, -1.54859, -1.52136, -0.19725
0.771, -0.01339, 1.97612, -1.54391, -1.51975, -0.20697
0.786, -0.01405, 1.97118, -1.53919, -1.51807, -0.21686
0.800, -0.01472, 1.96622, -1.53444, -1.51633, -0.22692
