Time_(s), Base_Joint_Position_(rad), Shoulder_Joint_Position_(rad), Elbow_Joint_Position_(rad), Wrist_Pitch_Joint_Position_(rad), Wrist_Roll_Joint_Position_(rad)
0.000, 0.00000, 2.09925, -1.65843, -1.54994, 0.00000
0.013, -0.00000, 2.09925, -1.65843, -1.54994, -0.00000
0.025, -0.00000, 2.09924, -1.65842, -1.54994, -0.00002
0.038, -0.00000, 2.09922, -1.65841, -1.54993, -0.00004
0.050, -0.00001, 2.09919, -1.65838, -1.54992, -0.00009
0.063, -0.00001, 2.09915, -1.65834, -1.54991, -0.00016
0.075, -0.00002, 2.09908, -1.65828, -1.54990, -0.00026
0.088, -0.00003, 2.09899, -1.65819, -1.54987, -0.00040
0.100, -0.00004, 2.09886, -1.65808, -1.54985, -0.00058
0.113, -0.00006, 2.09871, -1.65794, -1.54981, -0.00081
0.125, -0.00008, 2.09852, -1.65777, -1.54977, -0.00109
0.138, -0.00010, 2.09829, -1.65755, -1.54972, -0.00143
0.150, -0.00013, 2.09801, -1.65730, -1.54966, -0.00184
0.163, -0.00016, 2.09768, -1.65701, -1.54960, -0.00231
0.175, -0.00020, 2.09731, -1.65667, -1.54952, -0.00286
0.188, -0.00024, 2.09687, -1.65627, -1.54943, -0.00349
0.200, -0.00029, 2.09638, -1.65583, -1.54933, -0.00420
0.213, -0.00034, 2.09582, -1.65532, -1.54921, -0.00501
0.225, -0.00040, 2.09520, -1.65475, -1.54909, -0.00591
0.238, -0.00047, 2.09450, -1.65412, -1.54894, -0.00692
0.250, -0.00054, 2.09372, -1.65342, -1.54879, -0.00803
0.263, -0.00062, 2.09287, -1.65264, -1.54862, -0.00926
0.275, -0.00071, 2.09193, -1.65180, -1.54843, -0.01060
0.288, -0.00081, 2.09091, -1.65087, -1.54823, -0.01208
0.300, -0.00091, 2.08980, -1.64986, -1.54800, -0.01368
0.313, -0.00103, 2.08858, -1.64876, -1.54776, -0.01541
0.325, -0.00115, 2.08727, -1.64757, -1.54750, -0.01729
0.338, -0.00129, 2.08586, -1.64629, -1.54723, -0.01931
0.350, -0.00143, 2.08434, -1.64491, -1.54693, -0.02149
0.363, -0.00158, 2.08271, -1.64343, -1.54660, -0.02382
0.375, -0.00175, 2.08097, -1.64185, -1.54626, -0.02632
0.388, -0.00192, 2.07912, -1.64017, -1.54590, -0.02899
0.400, -0.00211, 2.07716, -1.63838, -1.54551, -0.03183
0.413, -0.00231, 2.07510, -1.63650, -1.54509, -0.03485
0.425, -0.00252, 2.07292, -1.63451, -1.54466, -0.03805
0.438, -0.00274, 2.07064, -1.63241, -1.54419, -0.04145
0.450, -0.00298, 2.06824, -1.63022, -1.54370, -0.04504
0.463, -0.00323, 2.06574, -1.62792, -1.54319, -0.04883
0.475, -0.00349, 2.06312, -1.62552, -1.54264, -0.05283
0.488, -0.00376, 2.06040, -1.62302, -1.54207, -0.05704
0.500, -0.00405, 2.05756, -1.62042, -1.54147, -0.06146
0.513, -0.00435, 2.05462, -1.61771, -1.54083, -0.06609
0.525, -0.00466, 2.05158, -1.61490, -1.54017, -0.07093
0.537, -0.00498, 2.04844, -1.61199, -1.53947, -0.07598
0.550, -0.00532, 2.04519, -1.60899, -1.53875, -0.08124
0.563, -0.00567, 2.04186, -1.60590, -1.53799, -0.08671
0.575, -0.00603, 2.03844, -1.60272, -1.53719, -0.09239
0.588, -0.00641, 2.03494, -1.59945, -1.53637, -0.09828
0.600, -0.00679, 2.03135, -1.59610, -1.53550, -0.10438
0.613, -0.00719, 2.02769, -1.59268, -1.53461, -0.11069
0.625, -0.00761, 2.02395, -1.58918, -1.53367, -0.11721
0.638, -0.00803, 2.02015, -1.58561, -1.53270, -0.12393
0.650, -0.00847, 2.01628, -1.58198, -1.53169, -0.13084
0.663, -0.00892, 2.01235, -1.57828, -1.53064, -0.13794
0.675, -0.00939, 2.00836, -1.57452, -1.52955, -0.14522
0.688, -0.00986, 2.00432, -1.57071, -1.52842, -0.15268
0.700, -0.01035, 2.00024, -1.56684, -1.52725, -0.16031
0.713, -0.01085, 1.99610, -1.56292, -1.52604, -0.16811
0.725, -0.01137, 1.99193, -1.55896, -1.52479, -0.17607
