Time_(s), Base_Joint_Position_(rad), Shoulder_Joint_Position_(rad), Elbow_Joint_Position_(rad), Wrist_Pitch_Joint_Position_(rad), Wrist_Roll_Joint_Position_(rad)
0.000, 0.00000, 2.09925, -1.65843, -1.54994, 0.00000
0.017, -0.00000, 2.09925, -1.65843, -1.54994, -0.00001
0.033, -0.00000, 2.09923, -1.65841, -1.54993, -0.00003
0.050, -0.00001, 2.09919, -1.65838, -1.54992, -0.00009
0.067, -0.00001, 2.09913, -1.65832, -1.54991, -0.00019
0.083, -0.00003, 2.09902, -1.65822, -1.54988, -0.00035
0.100, -0.00004, 2.09886, -1.65808, -1.54985, -0.00058
0.117, -0.00006, 2.09865, -1.65789, -1.54980, -0.00090
0.133, -0.00009, 2.09837, -1.65763, -1.54974, -0.00131
0.150, -0.00013, 2.09801, -1.65730, -1.54966, -0.00184
0.167, -0.00017, 2.09757, -1.65690, -1.54957, -0.00248
0.183, -0.00022, 2.09702, -1.65641, -1.54946, -0.00327
0.200, -0.00029, 2.09638, -1.65583, -1.54933, -0.00420
0.217, -0.00036, 2.09562, -1.65514, -1.54917, -0.00530
0.233, -0.00044, 2.09474, -1.65434, -1.54899, -0.00657
0.250, -0.00054, 2.09372, -1.65342, -1.54879, -0.00803
0.267, -0.00065, 2.09257, -1.65237, -1.54856, -0.00969
0.283, -0.00077, 2.09126, -1.65119, -1.54830, -0.01157
0.300, -0.00091, 2.08980, -1.64986, -1.54800, -0.01368
0.317, -0.00107, 2.08816, -1.64837, -1.54768, -0.01602
0.333, -0.00124, 2.08634, -1.64673, -1.54732, -0.01862
0.350, -0.00143, 2.08434, -1.64491, -1.54693, -0.02149
0.367, -0.00164, 2.08214, -1.64292, -1.54649, -0.02464
0.383, -0.00186, 2.07975, -1.64074, -1.54602, -0.02808
0.400, -0.00211, 2.07716, -1.63838, -1.54551, -0.03183
0.417, -0.00238, 2.07438, -1.63584, -1.54495, -0.03589
0.433, -0.00267, 2.07141, -1.63312, -1.54435, -0.04029
0.450, -0.00298, 2.06824, -1.63022, -1.54370, -0.04504
0.467, -0.00331, 2.06488, -1.62713, -1.54301, -0.05014
0.483, -0.00367, 2.06132, -1.62387, -1.54226, -0.05561
0.500, -0.00405, 2.05756, -1.62042, -1.54147, -0.06146
0.517, -0.00445, 2.05362, -1.61678, -1.54062, -0.06768
0.533, -0.00487, 2.04949, -1.61297, -1.53971, -0.07428
0.550, -0.00532, 2.04519, -1.60899, -1.53875, -0.08124
0.567, -0.00579, 2.04073, -1.60485, -1.53773, -0.08858
0.583, -0.00628, 2.03611, -1.60055, -1.53665, -0.09630
0.600, -0.00679, 2.03135, -1.59610, -1.53550, -0.10438
0.617, -0.00733, 2.02645, -1.59152, -1.53430, -0.11284
0.633, -0.00789, 2.02142, -1.58681, -1.53303, -0.12167
0.650, -0.00847, 2.01628, -1.58198, -1.53169, -0.13084
0.667, -0.00908, 2.01103, -1.57703, -1.53028, -0.14034
0.683, -0.00970, 2.00568, -1.57198, -1.52880, -0.15017
0.700, -0.01035, 2.00024, -1.56684, -1.52725, -0.16031
0.717, -0.01102, 1.99471, -1.56161, -1.52563, -0.17075
0.733, -0.01172, 1.98912, -1.55630, -1.52393, -0.18147
0.750, -0.01243, 1.98347, -1.55092, -1.52215, -0.19246
0.767, -0.01317, 1.97776, -1.54547, -1.52029, -0.20371
0.783, -0.01393, 1.97201, -1.53998, -1.51835, -0.21520
0.800, -0.01472, 1.96622, -1.53444, -1.51633, -0.22692
0.817, -0.01553, 1.96041, -1.52886, -1.51423, -0.23887
0.833, -0.01635, 1.95458, -1.52325, -1.51204, -0.25102
0.850, -0.01721, 1.94875, -1.51762, -1.50976, -0.26336
0.867, -0.01808, 1.94292, -1.51198, -1.50739, -0.27588
0.883, -0.01898, 1.93708, -1.50634, -1.50493, -0.28856
0.900, -0.01990, 1.93125, -1.50069, -1.50238, -0.30140
0.917, -0.02084, 1.92542, -1.49505, -1.49973, -0.31438
0.933, -0.02180, 1.91958, -1.48941, -1.49699, -0.32749
0.950, -0.02279, 1.91375, -1.48377, -1.49415, -0.34071
0.967, -0.02380, 1.90792, -1.47812, -1.49121, -0.35403
0.983, -0.02483, 1.90208, -1.47248, -1.48818, -0.36744
1.000, -0.02588, 1.89625, -1.46684, -1.48505, -0.38092
1.017, -0.02696, 1.89042, -1.46119, -1.48182, -0.39447
1.033, -0.02806, 1.88458, -1.45555, -1.47849, -0.40806
1.050, -0.02918, 1.87875, -1.44991, -1.47507, -0.42169
1.067, -0.03033, 1.87292, -1.44426, -1.47155, -0.43534
1.083, -0.03149, 1.86708, -1.43862, -1.46794, -0.44901
1.100, -0.03268, 1.86125, -1.43298, -1.46423, -0.46267
1.117, -0.03389, 1.85542, -1.42733, -1.46042, -0.47633
1.133, -0.03513, 1.84958, -1.42169, -1.45651, -0.48999
1.150, -0.03639, 1.84375, -1.41605, -1.45251, -0.50366
1.167, -0.03767, 1.83792, -1.41040, -1.44841, -0.51732
1.183, -0.03897, 1.83208, -1.40476, -1.44421, -0.53098
1.200, -0.04029, 1.82625, -1.39912, -1.43992, -0.54464
1.217, -0.04164, 1.82042, -1.39347, -1.43553, -0.55831
1.233, -0.04301, 1.81458, -1.38783, -1.43105, -0.57197
1.250, -0.04440, 1.80875, -1.38219, -1.42648, -0.58563
1.267, -0.04581, 1.80292, -1.37654, -1.42182, -0.59929
1.283, -0.04725, 1.79708, -1.37090, -1.41706, -0.61296
1.300, -0.04871, 1.79125, -1.36526, -1.41223, -0.62662
1.317, -0.05019, 1.78542, -1.35961, -1.40731, -0.64028
1.333, -0.05170, 1.77958, -1.35397, -1.40230, -0.65394
1.350, -0.05322, 1.77375, -1.34833, -1.39721, -0.66761
1.367, -0.05477, 1.76792, -1.34268, -1.39205, -0.68127
1.383, -0.05635, 1.76208, -1.33704, -1.38680, -0.69493
1.400, -0.05794, 1.75625, -1.33140, -1.38148, -0.70860
1.417, -0.05956, 1.75042, -1.32575, -1.37609, -0.72226
1.433, -0.06120, 1.74458, -1.32011, -1.37062, -0.73592
1.450, -0.06286, 1.73875, -1.31447, -1.36509, -0.74958
1.467, -0.06454, 1.73292, -1.30882, -1.35948, -0.76325
1.483, -0.06625, 1.72708, -1.30318, -1.35381, -0.77691
1.500, -0.06798, 1.72125, -1.29754, -1.34807, -0.79057
1.517, -0.06973, 1.71542, -1.29189, -1.34226, -0.80423
1.533, -0.07151, 1.70958, -1.28625, -1.33640, -0.81790
1.550, -0.07330, 1.70375, -1.28061, -1.33047, -0.83156
1.567, -0.07512, 1.69792, -1.27496, -1.32448, -0.84522
1.583, -0.07697, 1.69208, -1.26932, -1.31844, -0.85888
1.600, -0.07883, 1.68625, -1.26368, -1.31234, -0.87255
1.617, -0.08072, 1.68042, -1.25804, -1.30619, -0.88621
1.633, -0.08263, 1.67458, -1.25239, -1.29999, -0.89987
1.650, -0.08456, 1.66875, -1.24675, -1.29374, -0.91353
1.667, -0.08651, 1.66292, -1.24111, -1.28743, -0.92720
1.683, -0.08849, 1.65708, -1.23546, -1.28108, -0.94086
1.700, -0.09049, 1.65125, -1.22982, -1.27469, -0.95452
1.717, -0.09251, 1.64542, -1.22418, -1.26825, -0.96818
1.733, -0.09454, 1.63958, -1.21853, -1.26177, -0.98185
1.750, -0.09660, 1.63375, -1.21289, -1.25526, -0.99551
1.767, -0.09867, 1.62792, -1.20725, -1.24870, -1.00917
1.783, -0.10076, 1.62208, -1.20160, -1.24211, -1.02283
1.800, -0.10287, 1.61625, -1.19596, -1.23548, -1.03650
1.817, -0.10499, 1.61042, -1.19032, -1.22882, -1.05016
1.833, -0.10713, 1.60458, -1.18467, -1.22213, -1.06382
1.850, -0.10928, 1.59875, -1.17903, -1.21541, -1.07749
1.867, -0.11144, 1.59292, -1.17339, -1.20866, -1.09115
1.883, -0.11361, 1.58708, -1.16774, -1.20188, -1.10481
1.900, -0.11580, 1.58125, -1.16210, -1.19508, -1.11847
1.917, -0.11799, 1.57542, -1.15646, -1.18826, -1.13214
1.933, -0.12020, 1.56958, -1.15081, -1.18142, -1.14580
1.950, -0.12241, 1.56375, -1.14517, -1.17455, -1.15946
1.967, -0.12463, 1.55792, -1.13953, -1.16768, -1.17312
1.983, -0.12686, 1.55208, -1.13388, -1.16078, -1.18679
2.000, -0.12909, 1.54625, -1.12824, -1.15387, -1.20045
2.017, -0.13133, 1.54042, -1.12260, -1.14695, -1.21411
2.033, -0.13357, 1.53458, -1.11695, -1.14002, -1.22777
2.050, -0.13582, 1.52875, -1.11131, -1.13308, -1.24144
2.067, -0.13806, 1.52292, -1.10567, -1.12613, -1.25510
