Time_(s), Base_Joint_Position_(rad), Shoulder_Joint_Position_(rad), Elbow_Joint_Position_(rad), Wrist_Pitch_Joint_Position_(rad), Wrist_Roll_Joint_Position_(rad)
0.000, 0.00000, 2.09925, -1.65843, -1.54994, 0.00000
0.025, -0.00000, 2.09924, -1.65842, -1.54994, -0.00002
0.050, -0.00001, 2.09919, -1.65838, -1.54992, -0.00009
0.075, -0.00002, 2.09908, -1.65828, -1.54990, -0.00026
0.100, -0.00004, 2.09886, -1.65808, -1.54985, -0.00058
0.125, -0.00008, 2.09852, -1.65777, -1.54977, -0.00109
0.150, -0.00013, 2.09801, -1.65730, -1.54966, -0.00184
0.175, -0.00020, 2.09731, -1.65667, -1.54952, -0.00286
0.200, -0.00029, 2.09638, -1.65583, -1.54933, -0.00420
0.225, -0.00040, 2.09520, -1.65475, -1.54909, -0.00591
0.250, -0.00054, 2.09372, -1.65342, -1.54879, -0.00803
0.275, -0.00071, 2.09193, -1.65180, -1.54843, -0.01060
0.300, -0.00091, 2.08980, -1.64986, -1.54800, -0.01368
0.325, -0.00115, 2.08727, -1.64757, -1.54750, -0.01729
0.350, -0.00143, 2.08434, -1.64491, -1.54693, -0.02149
0.375, -0.00175, 2.08097, -1.64185, -1.54626, -0.02632
0.400, -0.00211, 2.07716, -1.63838, -1.54551, -0.03183
0.425, -0.00252, 2.07292, -1.63451, -1.54466, -0.03805
0.450, -0.00298, 2.06824, -1.63022, -1.54370, -0.04504
0.475, -0.00349, 2.06312, -1.62552, -1.54264, -0.05283
0.500, -0.00405, 2.05756, -1.62042, -1.54147, -0.06146
0.525, -0.00466, 2.05158, -1.61490, -1.54017, -0.07093
0.550, -0.00532, 2.04519, -1.60899, -1.53875, -0.08124
0.575, -0.00603, 2.03844, -1.60272, -1.53719, -0.09239
0.600, -0.00679, 2.03135, -1.59610, -1.53550, -0.10438
0.625, -0.00761, 2.02395, -1.58918, -1.53367, -0.11721
0.650, -0.00847, 2.01628, -1.58198, -1.53169, -0.13084
0.675, -0.00939, 2.00836, -1.57452, -1.52955, -0.14522
0.700, -0.01035, 2.00024, -1.56684, -1.52725, -0.16031
0.725, -0.01137, 1.99193, -1.55896, -1.52479, -0.17607
0.750, -0.01243, 1.98347, -1.55092, -1.52215, -0.19246
0.775, -0.01355, 1.97489, -1.54273, -1.51933, -0.20942
0.800, -0.01472, 1.96622, -1.53444, -1.51633, -0.22692
0.825, -0.01594, 1.95750, -1.52606, -1.51315, -0.24492
0.850, -0.01721, 1.94875, -1.51762, -1.50976, -0.26336
0.875, -0.01853, 1.94000, -1.50916, -1.50617, -0.28220
0.900, -0.01990, 1.93125, -1.50069, -1.50238, -0.30140
0.925, -0.02132, 1.92250, -1.49223, -1.49837, -0.32092
0.950, -0.02279, 1.91375, -1.48377, -1.49415, -0.34071
0.975, -0.02431, 1.90500, -1.47530, -1.48971, -0.36072
1.000, -0.02588, 1.89625, -1.46684, -1.48505, -0.38092
1.025, -0.02751, 1.88750, -1.45837, -1.48017, -0.40126
1.050, -0.02918, 1.87875, -1.44991, -1.47507, -0.42169
1.075, -0.03091, 1.87000, -1.44144, -1.46976, -0.44217
1.100, -0.03268, 1.86125, -1.43298, -1.46423, -0.46267
1.125, -0.03451, 1.85250, -1.42451, -1.45848, -0.48316
1.150, -0.03639, 1.84375, -1.41605, -1.45251, -0.50366
1.175, -0.03831, 1.83500, -1.40758, -1.44632, -0.52415
1.200, -0.04029, 1.82625, -1.39912, -1.43992, -0.54464
1.225, -0.04232, 1.81750, -1.39065, -1.43330, -0.56514
1.250, -0.04440, 1.80875, -1.38219, -1.42648, -0.58563
1.275, -0.04653, 1.80000, -1.37372, -1.41945, -0.60613
1.300, -0.04871, 1.79125, -1.36526, -1.41223, -0.62662
1.325, -0.05094, 1.78250, -1.35679, -1.40481, -0.64711
1.350, -0.05322, 1.77375, -1.34833, -1.39721, -0.66761
1.375, -0.05556, 1.76500, -1.33986, -1.38944, -0.68810
1.400, -0.05794, 1.75625, -1.33140, -1.38148, -0.70860
1.425, -0.06037, 1.74750, -1.32293, -1.37337, -0.72909
1.450, -0.06286, 1.73875, -1.31447, -1.36509, -0.74958
1.475, -0.06539, 1.73000, -1.30600, -1.35665, -0.77008
1.500, -0.06798, 1.72125, -1.29754, -1.34807, -0.79057
1.525, -0.07062, 1.71250, -1.28907, -1.33934, -0.81106
1.550, -0.07330, 1.70375, -1.28061, -1.33047, -0.83156
1.575, -0.07604, 1.69500, -1.27214, -1.32147, -0.85205
1.600, -0.07883, 1.68625, -1.26368, -1.31234, -0.87255
1.625, -0.08167, 1.67750, -1.25521, -1.30310, -0.89304
1.650, -0.08456, 1.66875, -1.24675, -1.29374, -0.91353
1.675, -0.08750, 1.66000, -1.23828, -1.28426, -0.93403
1.700, -0.09049, 1.65125, -1.22982, -1.27469, -0.95452
1.725, -0.09352, 1.64250, -1.22135, -1.26502, -0.97502
1.750, -0.09660, 1.63375, -1.21289, -1.25526, -0.99551
1.775, -0.09972, 1.62500, -1.20442, -1.24541, -1.01600
1.800, -0.10287, 1.61625, -1.19596, -1.23548, -1.03650
1.825, -0.10606, 1.60750, -1.18749, -1.22548, -1.05699
1.850, -0.10928, 1.59875, -1.17903, -1.21541, -1.07749
1.875, -0.11253, 1.59000, -1.17056, -1.20527, -1.09798
1.900, -0.11580, 1.58125, -1.16210, -1.19508, -1.11847
1.925, -0.11909, 1.57250, -1.15364, -1.18484, -1.13897
1.950, -0.12241, 1.56375, -1.14517, -1.17455, -1.15946
1.975, -0.12574, 1.55500, -1.13671, -1.16423, -1.17995
2.000, -0.12909, 1.54625, -1.12824, -1.15387, -1.20045
2.025, -0.13245, 1.53750, -1.11978, -1.14349, -1.22094
2.050, -0.13582, 1.52875, -1.11131, -1.13308, -1.24144
2.075, -0.13919, 1.52000, -1.10285, -1.12265, -1.26193
2.100, -0.14256, 1.51125, -1.09438, -1.11222, -1.28242
2.125, -0.14594, 1.50250, -1.08592, -1.10178, -1.30292
2.150, -0.14932, 1.49375, -1.07745, -1.09134, -1.32341
2.175, -0.15269, 1.48500, -1.06899, -1.08091, -1.34391
2.200, -0.15607, 1.47625, -1.06052, -1.07047, -1.36440
2.225, -0.15944, 1.46750, -1.05206, -1.06003, -1.38489
2.250, -0.16282, 1.45875, -1.04359, -1.04959, -1.40539
2.275, -0.16619, 1.45000, -1.03513, -1.03916, -1.42588
2.300, -0.16957, 1.44125, -1.02666, -1.02872, -1.44638
2.325, -0.17295, 1.43250, -1.01820, -1.01828, -1.46687
2.350, -0.17632, 1.42375, -1.00973, -1.00784, -1.48736
2.375, -0.17970, 1.41500, -1.00127, -0.99740, -1.50786
2.400, -0.18307, 1.40625, -0.99280, -0.98697, -1.52835
2.425, -0.18645, 1.39750, -0.98434, -0.97653, -1.54884
2.450, -0.18982, 1.38875, -0.97587, -0.96609, -1.56934
2.475, -0.19320, 1.38000, -0.96741, -0.95565, -1.58983
2.500, -0.19658, 1.37125, -0.95894, -0.94521, -1.61033
2.525, -0.19995, 1.36250, -0.95048, -0.93478, -1.63082
2.550, -0.20333, 1.35375, -0.94201, -0.92434, -1.65131
2.575, -0.20670, 1.34500, -0.93355, -0.91390, -1.67181
2.600, -0.21008, 1.33625, -0.92508, -0.90346, -1.69230
2.625, -0.21346, 1.32750, -0.91662, -0.89302, -1.71280
2.650, -0.21683, 1.31875, -0.90815, -0.88259, -1.73329
2.675, -0.22021, 1.31000, -0.89969, -0.87215, -1.75378
2.700, -0.22358, 1.30125, -0.89122, -0.86171, -1.77428
2.725, -0.22696, 1.29250, -0.88276, -0.85127, -1.79477
2.750, -0.23033, 1.28375, -0.87429, -0.84084, -1.81527
2.775, -0.23371, 1.27500, -0.86583, -0.83040, -1.83576
2.800, -0.23709, 1.26625, -0.85736, -0.81996, -1.85625
2.825, -0.24046, 1.25750, -0.84890, -0.80953, -1.87675
2.850, -0.24383, 1.24875, -0.84044, -0.79911, -1.89724
2.875, -0.24720, 1.24000, -0.83197, -0.78870, -1.91773
2.900, -0.25056, 1.23125, -0.82351, -0.77832, -1.93823
2.925, -0.25391, 1.22250, -0.81504, -0.76797, -1.95872
2.950, -0.25725, 1.21375, -0.80658, -0.75765, -1.97922
2.975, -0.26057, 1.20500, -0.79811, -0.74738, -1.99971
3.000, -0.26387, 1.19625, -0.78965, -0.73715, -2.02020
3.025, -0.26715, 1.18750, -0.78118, -0.72697, -2.04070
3.050, -0.27041, 1.17875, -0.77272, -0.71685, -2.06119
3.075, -0.27363, 1.17000, -0.76425, -0.70679, -2.08169
3.100, -0.27683, 1.16125, -0.75579, -0.69680, -2.10218
3.125, -0.27999, 1.15250, -0.74732, -0.68689, -2.12267
3.150, -0.28312, 1.14375, -0.73886, -0.67706, -2.14317
3.175, -0.28621, 1.13500, -0.73039, -0.66731, -2.16366
3.200, -0.28925, 1.12625, -0.72193, -0.65766, -2.18416
3.225, -0.29225, 1.11750, -0.71346, -0.64811, -2.20465
3.250, -0.29521, 1.10875, -0.70500, -0.63866, -2.22514
3.275, -0.29811, 1.10000, -0.69653, -0.62932, -2.24564
3.300, -0.30096, 1.09125, -0.68807, -0.62010, -2.26613
3.325, -0.30376, 1.08250, -0.67960, -0.61100, -2.28662
3.350, -0.30651, 1.07375, -0.67114, -0.60203, -2.30712
3.375, -0.30921, 1.06500, -0.66267, -0.59319, -2.32761
3.400, -0.31186, 1.05625, -0.65421, -0.58449, -2.34811
3.425, -0.31446, 1.04750, -0.64574, -0.57593, -2.36860
3.450, -0.31701, 1.03875, -0.63728, -0.56753, -2.38909
3.475, -0.31951, 1.03000, -0.62881, -0.55928, -2.40959
3.500, -0.32195, 1.02125, -0.62035, -0.55120, -2.43008
3.525, -0.32435, 1.01250, -0.61188, -0.54328, -2.45058
3.550, -0.32670, 1.00375, -0.60342, -0.53554, -2.47107
3.575, -0.32899, 0.99500, -0.59495, -0.52798, -2.49156
3.600, -0.33124, 0.98625, -0.58649, -0.52061, -2.51206
3.625, -0.33343, 0.97750, -0.57802, -0.51342, -2.53255
3.650, -0.33557, 0.96875, -0.56956, -0.50644, -2.55305
3.675, -0.33766, 0.96000, -0.56109, -0.49965, -2.57354
3.700, -0.33971, 0.95125, -0.55263, -0.49308, -2.59403
3.725, -0.34170, 0.94250, -0.54416, -0.48672, -2.61453
3.750, -0.34364, 0.93375, -0.53570, -0.48058, -2.63502
3.775, -0.34553, 0.92500, -0.52723, -0.47466, -2.65551
3.800, -0.34737, 0.91625, -0.51877, -0.46896, -2.67601
